日付,退院、療養解除となった者
2020/1/29,1
2020/1/30,1
2020/1/31,1
2020/2/1,1
2020/2/2,1
2020/2/3,1
2020/2/4,1
2020/2/5,4
2020/2/6,4
2020/2/7,6
2020/2/8,9
2020/2/9,9
2020/2/10,9
2020/2/11,10
2020/2/12,11
2020/2/13,11
2020/2/14,12
2020/2/15,12
2020/2/16,13
2020/2/17,12
2020/2/18,14
2020/2/19,16
2020/2/20,16
2020/2/21,16
2020/2/22,17
2020/2/23,17
2020/2/24,18
2020/2/25,23
2020/2/26,23
2020/2/27,30
2020/2/28,30
2020/2/29,31
2020/3/1,31
2020/3/2,32
2020/3/3,35
2020/3/4,37
2020/3/5,38
2020/3/6,56
2020/3/7,63
2020/3/8,67
2020/3/9,88
2020/3/10,89
2020/3/11,103
2020/3/12,108
2020/3/13,120
2020/3/14,129
2020/3/15,142
2020/3/16,149
2020/3/17,156
2020/3/18,176
2020/3/19,200
2020/3/20,212
2020/3/21,217
2020/3/22,257
2020/3/23,270
2020/3/24,285
2020/3/25,294
2020/3/26,343
2020/3/27,356
2020/3/28,388
2020/3/29,408
2020/3/30,408
2020/3/31,408
2020/4/1,456
2020/4/2,489
2020/4/3,498
2020/4/4,559
2020/4/5,568
2020/4/6,575
2020/4/7,605
2020/4/8,615
2020/4/9,668
2020/4/10,697
2020/4/11,745
2020/4/12,767
2020/4/13,782
2020/4/14,836
2020/4/15,884
2020/4/16,918
2020/4/17,995
2020/4/18,1052
2020/4/19,1142
2020/4/20,1222
2020/4/21,1339
2020/4/22,2023
2020/4/23,2391
2020/4/24,2519
2020/4/25,2645
2020/4/26,2798
2020/4/27,2888
2020/4/28,3170
2020/4/29,3357
2020/4/30,3449
2020/5/1,3964
2020/5/2,4194
2020/5/3,4368
2020/5/4,4479
2020/5/5,4570
2020/5/6,4901
2020/5/7,5129
2020/5/8,8110
2020/5/9,8276
2020/5/10,8514
2020/5/11,8903
2020/5/12,9851
2020/5/13,10321
2020/5/14,10792
2020/5/15,11136
2020/5/16,11398
2020/5/17,11547
2020/5/18,11867
2020/5/19,12269
2020/5/20,12655
2020/5/21,12988
2020/5/22,13227
2020/5/23,13396
2020/5/24,13446
2020/5/25,13643
2020/5/26,13806
2020/5/27,13979
2020/5/28,14085
2020/5/29,14237
2020/5/30,14290
2020/5/31,14333
2020/6/1,14481
2020/6/2,14602
2020/6/3,14690
2020/6/4,14795
2020/6/5,14901
2020/6/6,14961
2020/6/7,14970
2020/6/8,15035
2020/6/9,15120
2020/6/10,15200
2020/6/11,15308
2020/6/12,15395
2020/6/13,15451
2020/6/14,15493
2020/6/15,15508
2020/6/16,15657
2020/6/17,15737
2020/6/18,15811
2020/6/19,15880
2020/6/20,15911
2020/6/21,15936
2020/6/22,16007
2020/6/23,16058
2020/6/24,16116
2020/6/25,16188
2020/6/26,16248
2020/6/27,16301
2020/6/28,16353
2020/6/29,16424
2020/6/30,16522
2020/7/1,16563
2020/7/2,16654
2020/7/3,16747
2020/7/4,16838
2020/7/5,16912
2020/7/6,16981
2020/7/7,17115
2020/7/8,17250
2020/7/9,17436
2020/7/10,17633
2020/7/11,17787
2020/7/12,17887
2020/7/13,18066
2020/7/14,18312
2020/7/15,18580
2020/7/16,18862
2020/7/17,19132
2020/7/18,19342
2020/7/19,19523
2020/7/20,19921
2020/7/21,20403
2020/7/22,20787
2020/7/23,21080
2020/7/24,21319
2020/7/25,21514
2020/7/26,21868
2020/7/27,22560
2020/7/28,23256
2020/7/29,23928
2020/7/30,24678
2020/7/31,25253
2020/8/1,25653
2020/8/2,26234
2020/8/3,26944
2020/8/4,27775
2020/8/5,28624
2020/8/6,29900
2020/8/7,31054
2020/8/8,32059
2020/8/9,32805
2020/8/10,33722
2020/8/11,34635
2020/8/12,35858
2020/8/13,37165
2020/8/14,38600
2020/8/15,39715
2020/8/16,40794
2020/8/17,41853
2020/8/18,43379
2020/8/19,44771
2020/8/20,45938
2020/8/21,47045
2020/8/22,47946
2020/8/23,48716
2020/8/24,49794
2020/8/25,51034
2020/8/26,52169
2020/8/27,53318
2020/8/28,54650
2020/8/29,55471
2020/8/30,56109
2020/8/31,57130
2020/9/1,57735
2020/9/2,58827
2020/9/3,59720
2020/9/4,60726
