年,月,日,都道府県,PCR検査陽性者数,PCR検査人数,陽性率,検査人数の集計期間に対応する陽性者数
2020,3,11,北海道,118,1069,,
2020,3,11,青森県,0,58,,
2020,3,11,岩手県,0,20,,
2020,3,11,宮城県,1,94,,
2020,3,11,秋田県,2,40,,
2020,3,11,山形県,0,96,,
2020,3,11,福島県,1,93,,
2020,3,11,茨城県,0,302,,
2020,3,11,栃木県,2,170,,
2020,3,11,群馬県,1,81,,
2020,3,11,埼玉県,12,264,,
2020,3,11,千葉県,25,,,
2020,3,11,東京都,79,922,,
2020,3,11,神奈川県,43,,,
2020,3,11,新潟県,11,,,
2020,3,11,富山県,0,44,,
2020,3,11,石川県,7,134,,
2020,3,11,福井県,0,71,,
2020,3,11,山梨県,2,236,,
2020,3,11,長野県,3,231,,
2020,3,11,岐阜県,2,201,,
2020,3,11,静岡県,2,,,
2020,3,11,愛知県,104,274,,
2020,3,11,三重県,2,155,,
2020,3,11,滋賀県,1,88,,
2020,3,11,京都府,15,440,,
2020,3,11,大阪府,81,,,
2020,3,11,兵庫県,35,443,,
2020,3,11,奈良県,8,102,,
2020,3,11,和歌山県,14,982,,
2020,3,11,鳥取県,0,82,,
2020,3,11,島根県,0,64,,
2020,3,11,岡山県,0,125,,
2020,3,11,広島県,1,290,,
2020,3,11,山口県,3,113,,
2020,3,11,徳島県,1,62,,
2020,3,11,香川県,0,88,,
2020,3,11,愛媛県,2,149,,
2020,3,11,高知県,12,157,,
2020,3,11,福岡県,3,492,,
2020,3,11,佐賀県,0,47,,
2020,3,11,長崎県,0,133,,
2020,3,11,熊本県,6,,,
2020,3,11,大分県,1,137,,
2020,3,11,宮崎県,1,78,,
2020,3,11,鹿児島県,0,,,
2020,3,11,沖縄県,3,190,,
2020,3,12,北海道,128,1250,,
2020,3,12,青森県,0,66,,
2020,3,12,岩手県,0,22,,
2020,3,12,宮城県,1,100,,
2020,3,12,秋田県,2,92,,
2020,3,12,山形県,0,103,,
2020,3,12,福島県,1,100,,
2020,3,12,茨城県,0,342,,
2020,3,12,栃木県,2,193,,
2020,3,12,群馬県,1,103,,
2020,3,12,埼玉県,18,440,,
2020,3,12,千葉県,27,,,
2020,3,12,東京都,81,922,,
2020,3,12,神奈川県,43,,,
2020,3,12,新潟県,14,,,
2020,3,12,富山県,0,47,,
2020,3,12,石川県,7,144,,
2020,3,12,福井県,0,73,,
2020,3,12,山梨県,2,251,,
2020,3,12,長野県,3,245,,
2020,3,12,岐阜県,2,205,,
2020,3,12,静岡県,3,,,
2020,3,12,愛知県,111,1009,,
2020,3,12,三重県,7,181,,
2020,3,12,滋賀県,1,91,,
2020,3,12,京都府,17,544,,
2020,3,12,大阪府,90,,,
2020,3,12,兵庫県,43,540,,
2020,3,12,奈良県,8,113,,
2020,3,12,和歌山県,14,996,,
2020,3,12,鳥取県,0,86,,
2020,3,12,島根県,0,76,,
2020,3,12,岡山県,0,141,,
2020,3,12,広島県,1,376,,
2020,3,12,山口県,3,122,,
2020,3,12,徳島県,1,67,,
2020,3,12,香川県,0,91,,
2020,3,12,愛媛県,2,153,,
2020,3,12,高知県,12,221,,
2020,3,12,福岡県,3,509,,
2020,3,12,佐賀県,0,50,,
2020,3,12,長崎県,0,140,,
2020,3,12,熊本県,6,,,
2020,3,12,大分県,1,138,,
2020,3,12,宮崎県,1,97,,
2020,3,12,鹿児島県,0,,,
2020,3,12,沖縄県,3,196,,
2020,3,13,北海道,136,1322,,
2020,3,13,青森県,0,70,,
2020,3,13,岩手県,0,22,,
2020,3,13,宮城県,1,109,,
2020,3,13,秋田県,2,94,,
2020,3,13,山形県,0,110,,
2020,3,13,福島県,1,107,,
2020,3,13,茨城県,0,389,,
2020,3,13,栃木県,2,201,,
2020,3,13,群馬県,3,115,,
